,city,temp,humidity,clouds,Wind Speed,lat,lng
0,port alfred,65.46,90,0,11.18,-33.59,26.89
1,grindavik,41.47,86,75,6.93,63.84,-22.43
2,nanortalik,40.71,91,92,22.7,60.14,-45.24
3,faya,68.04,32,0,4.7,18.39,42.45
4,naze,73.74,98,88,4.47,5.43,7.07
5,tessalit,80.58,37,76,8.5,20.2,1.01
6,shingu,71.13,100,0,8.05,33.72,135.99
7,nuuk,42.8,93,80,24.16,64.17,-51.74
8,carnarvon,41.43,49,0,6.93,-30.97,22.13
9,punta arenas,47.25,49,0,10.29,-53.16,-70.91
10,sao filipe,79.32,96,0,15.21,14.9,-24.5
11,butaritari,84.54,100,0,7.94,3.07,172.79
12,cape town,57.2,93,90,20.8,-33.93,18.42
13,inongo,73.56,95,24,2.35,-1.93,18.29
14,ushuaia,48.2,34,0,13.87,-54.81,-68.31
15,rikitea,72.21,100,76,15.77,-23.12,-134.97
16,nikolskoye,44.6,87,90,6.71,59.7,30.79
17,mataura,54.66,85,12,8.72,-46.19,168.86
18,barcelona,64.4,77,20,4.7,41.38,2.18
19,adrar,75.2,57,75,18.34,27.87,-0.29
20,castro,49.26,98,92,8.05,-42.48,-73.76
21,busselton,50.89,100,0,20.6,-33.64,115.35
22,srednekolymsk,31.89,83,88,5.59,67.46,153.71
23,albany,62.76,60,90,4.7,42.65,-73.75
24,ribeira grande,74.65,98,68,11.1,38.52,-28.7
25,katima mulilo,71.04,37,8,5.59,-17.5,24.28
26,north bend,71.58,54,1,8.05,43.41,-124.22
27,mehamn,36.66,86,88,10.63,71.03,27.85
28,nara,63.77,77,20,4.7,34.68,135.8
29,hobart,51.8,53,75,10.29,-42.88,147.33
30,wairoa,51.96,100,48,3.13,-39.04,177.43
31,rio branco,89.6,49,20,2.01,-9.98,-67.82
32,salalah,74.46,100,76,6.15,17.01,54.1
33,hermanus,57.27,93,92,11.41,-34.42,19.24
34,daru,71.22,99,92,4.47,7.99,-10.85
35,bandarbeyla,78.25,100,0,22.5,9.49,50.81
36,torbay,59.0,93,90,14.99,47.66,-52.73
37,saint-augustin,60.6,77,0,1.12,44.83,-0.61
38,namatanai,84.0,97,0,15.77,-3.66,152.44
39,ciro marina,72.12,100,68,17.67,39.37,17.13
40,iskateley,39.99,99,76,14.09,67.68,53.15
41,marawi,74.19,89,20,3.36,8.0,124.29
42,buckeye,100.72,13,1,3.36,33.37,-112.58
43,vestmannaeyjar,44.76,91,92,10.96,63.44,-20.27
44,puerto ayora,77.0,69,75,19.46,-0.74,-90.35
45,buchanan,75.2,94,75,6.49,5.88,-10.05
46,atambua,79.14,95,0,5.7,-9.11,124.89
47,jipijapa,78.8,74,20,9.17,-1.35,-80.58
48,kysyl-syr,36.12,76,0,7.38,63.9,122.77
49,tuktoyaktuk,32.0,100,90,20.8,69.44,-133.03
50,henties bay,53.49,100,0,6.49,-22.12,14.28
51,amod,76.62,87,0,6.04,21.99,72.87
52,sabha,63.66,59,0,7.49,27.03,14.43
53,lagoa,75.2,73,0,3.36,37.14,-8.45
54,buraydah,91.4,24,40,3.36,26.33,43.97
55,souillac,64.78,82,0,3.36,45.6,-0.6
56,klyuchi,44.49,79,0,4.59,52.25,79.17
57,pontianak,77.79,100,24,4.47,-0.02,109.34
58,feijo,89.6,33,40,8.05,-3.63,-79.92
59,half moon bay,70.32,82,1,6.93,37.46,-122.43
60,san andres,83.28,100,64,7.94,13.32,122.68
61,iqaluit,30.2,68,90,20.8,63.75,-68.52
